SlNo,State,CollegeName,District,University,Management,YearOfInception,AnnualIntake
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands Institute of Medical Sciences Port Blair,Port Blair,Pondicherry University,Govt.,2015,114
2,Andhra Pradesh,Government Medical College Paderu,Alluri Sitharam District,Dr. YSR University of Health Sciences Vijayawada,Govt.,2024,50
3,Andhra Pradesh,Government Medical College Machilipatnam,NTR District,Dr. YSR University of Health Sciences,Govt.,2023,150
4,Andhra Pradesh,ACSR Government Medical College,Nellore,Dr. YSR University of Health Sciences,Govt.,2014,175
5,Andhra Pradesh,All India Institute of Medical Sciences Mangalagiri Vijayawada,Mangalagiri,Statutory Autonomous AIIMS(Mangalagiri),Govt.,2018,125
6,Andhra Pradesh,Alluri Sitharam Raju Academy of Medical Sciences Eluru,Eluru,Dr. YSR University of Health Sciences,Trust,2000,250
7,Andhra Pradesh,Andhra Medical College Visakhapatnam,Visakhapatnam,Dr. YSR University of Health Sciences,Govt.,1923,250
8,Andhra Pradesh,Apollo Institute of Medical Sciences and Research Chittoor,Chittoor,Dr. YSR University of Health Sciences,Society,2016,150
9,Andhra Pradesh,Dr. P.S.I. Medical College Chinoutpalli,Chinoutpalli,Dr. YSR University of Health Sciences,Trust,2002,150
10,Andhra Pradesh,Fathima Instt. of Medical Sciences Kadapa,Kadapa,Dr. YSR University of Health Sciences,Trust,2010,100
11,Andhra Pradesh,Gayathri Vidya Parishad Institute of Health Care & Medical Technology Visakhapatnam,Visakhapatnam,Dr. YSR University of Health Sciences,Society,2016,200
12,Andhra Pradesh,GITAM Institute of Medical Sciences and Research Visakhapatnam,Visakhapatnam,GITAM Deemed University Visakhapatnam,Private,2015,150
13,Andhra Pradesh,Government Medical College Ananthapuram,Ananthapuram,Dr. YSR University of Health Sciences,Govt.,2000,200
14,Andhra Pradesh,Government Medical College Eluru,NTR District,Dr. YSR University of Health Sciences,Govt.,2023,150
15,Andhra Pradesh,Government Medical College Nandyal,NTR District,Dr. YSR University of Health Sciences,Govt.,2023,150
16,Andhra Pradesh,Government Medical College Rajamahendravaram,East Godavari,Dr. YSR University of Health Sciences,Govt.,2023,150
17,Andhra Pradesh,Government Medical College Vizianagaram,NTR District,Dr. YSR University of Health Sciences,Govt.,2023,150
